Модель,Accuracy,Precision,Recall,F1-score
SimpleCNN,0.26666666666666666,0.16880341880341881,0.26666666666666666,0.1966119035155027
ImprovedCNN,0.6,0.5816082743227455,0.6,0.5624723088154927
